utterance,ctc_viterbi_encoding_ms,ctc_viterbi_phone_region_and_scoring_ms,ctc_viterbi_stress_ms,ctc_viterbi_downstream_total_ms,ctc_viterbi_scored_phones,ctc_viterbi_scored_polysyllabic_words,mfa_encoding_ms,mfa_phone_region_and_scoring_ms,mfa_stress_ms,mfa_downstream_total_ms,mfa_scored_phones,mfa_scored_polysyllabic_words
000940027,47.805917012738064,1.898457994684577,0.00037500285543501377,49.70504200900905,10,0,47.48400000971742,0.12154201976954937,0.0005409820005297661,47.606458014342934,10,0
000940032,44.29654200794175,1.2262919917702675,0.0005830079317092896,45.52383301779628,7,0,44.4054999970831,0.08566598990000784,0.0004580069798976183,44.49183298856951,7,0
000940042,51.95125000318512,2.7446660096757114,0.000667001586407423,54.6968340058811,14,0,51.6959999804385,0.15624999650754035,0.0006249756552278996,51.85312498360872,14,0
000940049,48.22875000536442,1.912249979795888,0.0004159810487180948,50.14183299499564,10,0,48.17399999592453,0.1229170011356473,0.0004580069798976183,48.2976250059437,10,0
000940067,47.02166697825305,2.79987501562573,0.0007500057108700275,49.8227080097422,14,0,46.95633301162161,0.18812500638887286,0.0007920025382190943,47.14554199017584,14,0
000940068,51.962917001219466,1.9877500017173588,40.61329099931754,94.5648750057444,12,1,45.170625002356246,0.1427080132998526,41.08170801191591,86.39545799815096,12,1
000940073,51.37270799605176,2.024959016125649,0.0007909839041531086,53.39899999671616,11,0,50.998791004531085,0.13200001558288932,0.0005830079317092896,51.131792017258704,11,0
000940074,44.88579198368825,1.8825000151991844,82.96458297991194,129.73345897626132,12,2,49.14979200111702,0.149500003317371,81.26445900416002,130.5644589883741,12,2
000940086,38.91150001436472,1.4810829889029264,0.0007080088835209608,40.393709001364186,10,0,38.434040994616225,0.1332090178038925,0.0005830079317092896,38.56829198775813,10,0
000940093,45.20174997742288,2.354374999413267,0.0007499766070395708,47.55737498635426,12,0,45.275375014171004,0.13749999925494194,0.0006250047590583563,45.41387502104044,12,0
000940102,46.18349997326732,2.7129579975735396,76.48654200602323,125.38370801485144,17,2,46.42066700034775,0.20650000078603625,79.00599998538382,125.63391600269824,17,2
000940103,52.03279200941324,2.880499989259988,0.0007080088835209608,54.9144160177093,15,0,52.15220799436793,0.18145798821933568,0.0007500057108700275,52.334917010739446,15,0
000940122,52.4207089911215,3.8067919958848506,38.463208999019116,94.69112500664778,20,1,52.57954201078974,0.2254169958177954,40.62683298252523,93.43250002712011,20,1
000940133,45.20054199383594,2.4196669983211905,80.00679200631566,127.6275840064045,15,2,45.17083300743252,0.17775001469999552,80.20504098385572,125.55399999837391,15,2
000940147,52.572667016647756,2.912584022851661,37.94237499823794,93.42829100205563,16,1,52.354332990944386,0.19466699450276792,42.156207986408845,94.70562500064261,16,1
000940150,34.08937499625608,0.7762080058455467,0.000667001586407423,34.86662500654347,6,0,34.59924997878261,0.09516699356026947,0.0006250047590583563,34.695624985033646,6,0
000940173,44.53441599616781,1.9496250024531037,0.0006250047590583563,46.485124999890104,12,0,44.46170898154378,0.12745801359415054,0.00045899651013314724,44.590041012270376,12,0
000960002,52.81212500995025,2.3417499905917794,41.79587500402704,96.95041598752141,12,1,52.35712500871159,0.16333398525603116,43.30404198844917,95.8249999966938,12,1
000960008,71.69012501253746,4.233790998114273,0.0007910130079835653,75.92516599106602,14,0,72.04995898064226,0.18612499115988612,0.00045899651013314724,72.23679099115543,14,0
000960019,54.381374997319654,2.9093339981045574,63.614999991841614,120.90633300249465,14,1,54.38329197932035,0.17933399067260325,44.903375004651025,99.46641599526629,14,1
000960040,52.38229100359604,2.3714579874649644,0.0006249756552278996,54.75479198503308,12,0,52.17383400304243,0.1396249863319099,0.0004999747034162283,52.314208005554974,12,0
000960043,49.4947089755442,1.7780000052880496,0.0004580069798976183,51.27349999384023,9,0,48.103082983288914,0.12666601105593145,0.0007500057108700275,48.23104201932438,9,0
000960046,46.774083020864055,2.4763340188656002,0.00037500285543501377,49.25120799452998,14,0,46.74504097783938,0.1612920023035258,0.0005839974619448185,46.90725001273677,14,0
000960048,47.9617909877561,2.153250010451302,0.0005420006345957518,50.11591699440032,11,0,47.46441601309925,0.14091600314714015,0.0005830079317092896,47.60633301339112,11,0
000960049,47.82125001656823,2.0477910002227873,0.000500003807246685,49.869875016156584,11,0,47.71137499483302,0.14329198165796697,0.0006250047590583563,47.85583398188464,11,0
000960050,53.35075000766665,2.4003340222407132,0.00045797787606716156,55.75187498470768,11,0,53.2384580001235,0.14637500862590969,0.0005830079317092896,53.38566700811498,11,0
000960052,52.03387499204837,1.9042500061914325,0.000500003807246685,53.939083009026945,9,0,52.05079200095497,0.12645797687582672,0.0007079797796905041,52.17829198227264,9,0
